ID,Question,Sample,Classification
534,,the Elk eats Eggplant,animalEatsVegetable
535,,the Eggplant eats Elk,vegetableEatsAnimal
536,,the Hamster eats Cauliflower,animalEatsVegetable
537,,the Cauliflower eats Hamster,vegetableEatsAnimal
538,,the Bison eats Radish,animalEatsVegetable
539,,the Radish eats Bison,vegetableEatsAnimal
540,,the Gazelle eats Onion,animalEatsVegetable
541,,the Onion eats Gazelle,vegetableEatsAnimal
542,,the Pig eats Pumpkin,animalEatsVegetable
543,,the Pumpkin eats Pig,vegetableEatsAnimal
544,,the Deer eats Cauliflower,animalEatsVegetable
545,,the Cauliflower eats Deer,vegetableEatsAnimal
546,,the Lion eats Basil,animalEatsVegetable
547,,the Basil eats Lion,vegetableEatsAnimal
548,,the Fox eats Mushroom,animalEatsVegetable
549,,the Mushroom eats Fox,vegetableEatsAnimal
550,,the Elephant eats Artichoke,animalEatsVegetable
551,,the Artichoke eats Elephant,vegetableEatsAnimal
552,,the Kangaroo eats Daikon,animalEatsVegetable
553,,the Daikon eats Kangaroo,vegetableEatsAnimal
554,,the Pig eats Broccoli,animalEatsVegetable
555,,the Broccoli eats Pig,vegetableEatsAnimal
556,,the Pig eats Pepper,animalEatsVegetable
557,,the Pepper eats Pig,vegetableEatsAnimal
558,,the Squirrel eats Broccoli,animalEatsVegetable
559,,the Broccoli eats Squirrel,vegetableEatsAnimal
560,,the Donkey eats Artichoke,animalEatsVegetable
561,,the Artichoke eats Donkey,vegetableEatsAnimal
562,,the Gazelle eats Pepper,animalEatsVegetable
563,,the Pepper eats Gazelle,vegetableEatsAnimal
564,,the Dog eats Pepper,animalEatsVegetable
565,,the Pepper eats Dog,vegetableEatsAnimal
566,,the Hare eats Mushroom,animalEatsVegetable
567,,the Mushroom eats Hare,vegetableEatsAnimal
568,,the Lion eats Spinach,animalEatsVegetable
569,,the Spinach eats Lion,vegetableEatsAnimal
570,,the Hare eats Eggplant,animalEatsVegetable
571,,the Eggplant eats Hare,vegetableEatsAnimal
572,,the Rabbit eats Beet,animalEatsVegetable
573,,the Beet eats Rabbit,vegetableEatsAnimal
574,,the Monkey eats Lettuce,animalEatsVegetable
575,,the Lettuce eats Monkey,vegetableEatsAnimal
576,,the Dog eats Cabbage,animalEatsVegetable
577,,the Cabbage eats Dog,vegetableEatsAnimal
578,,the Chicken eats Kale,animalEatsVegetable
579,,the Kale eats Chicken,vegetableEatsAnimal
580,,the Rabbit eats Pumpkin,animalEatsVegetable
581,,the Pumpkin eats Rabbit,vegetableEatsAnimal
582,,the Hamster eats Broccoli,animalEatsVegetable
583,,the Broccoli eats Hamster,vegetableEatsAnimal
584,,the Bison eats Carrot,animalEatsVegetable
585,,the Carrot eats Bison,vegetableEatsAnimal
586,,the Elk eats Tomato,animalEatsVegetable
587,,the Tomato eats Elk,vegetableEatsAnimal
588,,the Hamster eats Daikon,animalEatsVegetable
589,,the Daikon eats Hamster,vegetableEatsAnimal
590,,the Goat eats Celery,animalEatsVegetable
591,,the Celery eats Goat,vegetableEatsAnimal
592,,the Sheep eats Radish,animalEatsVegetable
593,,the Radish eats Sheep,vegetableEatsAnimal
594,,the Bear eats Wheatgrass,animalEatsVegetable
595,,the Wheatgrass eats Bear,vegetableEatsAnimal
596,,the Mule eats Spinach,animalEatsVegetable
597,,the Spinach eats Mule,vegetableEatsAnimal
598,,the Lion eats Daikon,animalEatsVegetable
599,,the Daikon eats Lion,vegetableEatsAnimal
600,,the Kangaroo eats Wheatgrass,animalEatsVegetable
601,,the Wheatgrass eats Kangaroo,vegetableEatsAnimal
602,,the Tiger eats Cauliflower,animalEatsVegetable
603,,the Cauliflower eats Tiger,vegetableEatsAnimal
604,,the Zebra eats Wheatgrass,animalEatsVegetable
605,,the Wheatgrass eats Zebra,vegetableEatsAnimal
606,,the Elephant eats Carrot,animalEatsVegetable
607,,the Carrot eats Elephant,vegetableEatsAnimal
608,,the Giraffe eats Broccoli,animalEatsVegetable
609,,the Broccoli eats Giraffe,vegetableEatsAnimal
610,,the Horse eats Spinach,animalEatsVegetable
611,,the Spinach eats Horse,vegetableEatsAnimal
612,,the Mule eats Artichoke,animalEatsVegetable
613,,the Artichoke eats Mule,vegetableEatsAnimal
614,,the Monkey eats Broccoli,animalEatsVegetable
615,,the Broccoli eats Monkey,vegetableEatsAnimal
616,,the Squirrel eats Eggplant,animalEatsVegetable
617,,the Eggplant eats Squirrel,vegetableEatsAnimal
618,,the Fox eats Broccoli,animalEatsVegetable
619,,the Broccoli eats Fox,vegetableEatsAnimal
620,,the Gazelle eats Kale,animalEatsVegetable
621,,the Kale eats Gazelle,vegetableEatsAnimal
622,,the Turkey eats Tomato,animalEatsVegetable
623,,the Tomato eats Turkey,vegetableEatsAnimal
624,,the Deer eats Cabbage,animalEatsVegetable
625,,the Cabbage eats Deer,vegetableEatsAnimal
626,,the Rabbit eats Mushroom,animalEatsVegetable
627,,the Mushroom eats Rabbit,vegetableEatsAnimal
628,,the Ape eats Wheatgrass,animalEatsVegetable
629,,the Wheatgrass eats Ape,vegetableEatsAnimal
630,,the Hare eats Celery,animalEatsVegetable
631,,the Celery eats Hare,vegetableEatsAnimal
632,,the Camel eats Eggplant,animalEatsVegetable
633,,the Eggplant eats Camel,vegetableEatsAnimal
634,,the Bison eats Lettuce,animalEatsVegetable
635,,the Lettuce eats Bison,vegetableEatsAnimal
636,,the Ape eats Cucumber,animalEatsVegetable
637,,the Cucumber eats Ape,vegetableEatsAnimal
638,,the Squirrel eats Mushroom,animalEatsVegetable
639,,the Mushroom eats Squirrel,vegetableEatsAnimal
640,,the Antelope eats Basil,animalEatsVegetable
641,,the Basil eats Antelope,vegetableEatsAnimal
642,,the Bear eats Artichoke,animalEatsVegetable
643,,the Artichoke eats Bear,vegetableEatsAnimal
644,,the Cat eats Onion,animalEatsVegetable
645,,the Onion eats Cat,vegetableEatsAnimal
646,,the Cow eats Cucumber,animalEatsVegetable
647,,the Cucumber eats Cow,vegetableEatsAnimal
648,,the Elephant eats Beet,animalEatsVegetable
649,,the Beet eats Elephant,vegetableEatsAnimal
650,,the Mule eats Pumpkin,animalEatsVegetable
651,,the Pumpkin eats Mule,vegetableEatsAnimal
652,,the Ape eats Pumpkin,animalEatsVegetable
653,,the Pumpkin eats Ape,vegetableEatsAnimal
654,,the Donkey eats Zucchini,animalEatsVegetable
655,,the Zucchini eats Donkey,vegetableEatsAnimal
656,,the Ferret eats Tomato,animalEatsVegetable
657,,the Tomato eats Ferret,vegetableEatsAnimal
658,,the Rabbit eats Carrot,animalEatsVegetable
659,,the Carrot eats Rabbit,vegetableEatsAnimal
660,,the Elk eats Carrot,animalEatsVegetable
661,,the Carrot eats Elk,vegetableEatsAnimal
662,,the Tiger eats Pumpkin,animalEatsVegetable
663,,the Pumpkin eats Tiger,vegetableEatsAnimal
664,,the Gazelle eats Potato,animalEatsVegetable
665,,the Potato eats Gazelle,vegetableEatsAnimal
666,,the Elk eats Potato,animalEatsVegetable
667,,the Potato eats Elk,vegetableEatsAnimal
668,,the Chicken eats Potato,animalEatsVegetable
669,,the Potato eats Chicken,vegetableEatsAnimal
670,,the Ape eats Artichoke,animalEatsVegetable
671,,the Artichoke eats Ape,vegetableEatsAnimal
672,,the Deer eats Artichoke,animalEatsVegetable
673,,the Artichoke eats Deer,vegetableEatsAnimal
674,,the Fox eats Kale,animalEatsVegetable
675,,the Kale eats Fox,vegetableEatsAnimal
676,,the Horse eats Turnip,animalEatsVegetable
677,,the Turnip eats Horse,vegetableEatsAnimal
678,,the Boar eats Eggplant,animalEatsVegetable
679,,the Eggplant eats Boar,vegetableEatsAnimal
680,,the Lion eats Carrot,animalEatsVegetable
681,,the Carrot eats Lion,vegetableEatsAnimal
682,,the Tiger eats Eggplant,animalEatsVegetable
683,,the Eggplant eats Tiger,vegetableEatsAnimal
684,,the Pig eats Eggplant,animalEatsVegetable
685,,the Eggplant eats Pig,vegetableEatsAnimal
686,,the Horse eats Cabbage,animalEatsVegetable
687,,the Cabbage eats Horse,vegetableEatsAnimal
688,,the Ape eats Daikon,animalEatsVegetable
689,,the Daikon eats Ape,vegetableEatsAnimal
690,,the Cow eats Eggplant,animalEatsVegetable
691,,the Eggplant eats Cow,vegetableEatsAnimal
692,,the Donkey eats Tomato,animalEatsVegetable
693,,the Tomato eats Donkey,vegetableEatsAnimal
694,,the Donkey eats Mushroom,animalEatsVegetable
695,,the Mushroom eats Donkey,vegetableEatsAnimal
696,,the Elephant eats Cucumber,animalEatsVegetable
697,,the Cucumber eats Elephant,vegetableEatsAnimal
698,,the Cat eats Asparagus,animalEatsVegetable
699,,the Asparagus eats Cat,vegetableEatsAnimal
700,,the Squirrel eats Artichoke,animalEatsVegetable
701,,the Artichoke eats Squirrel,vegetableEatsAnimal
702,,the Goat eats Wheatgrass,animalEatsVegetable
703,,the Wheatgrass eats Goat,vegetableEatsAnimal
704,,the Rabbit eats Zucchini,animalEatsVegetable
705,,the Zucchini eats Rabbit,vegetableEatsAnimal
706,,the Lion eats Cabbage,animalEatsVegetable
707,,the Cabbage eats Lion,vegetableEatsAnimal
708,,the Kangaroo eats Turnip,animalEatsVegetable
709,,the Turnip eats Kangaroo,vegetableEatsAnimal
710,,the Lion eats Radish,animalEatsVegetable
711,,the Radish eats Lion,vegetableEatsAnimal
712,,the Antelope eats Potato,animalEatsVegetable
713,,the Potato eats Antelope,vegetableEatsAnimal
714,,the Rabbit eats Pea,animalEatsVegetable
715,,the Pea eats Rabbit,vegetableEatsAnimal
716,,the Boar eats Beet,animalEatsVegetable
717,,the Beet eats Boar,vegetableEatsAnimal
718,,the Tiger eats Asparagus,animalEatsVegetable
719,,the Asparagus eats Tiger,vegetableEatsAnimal
720,,the Monkey eats Pepper,animalEatsVegetable
721,,the Pepper eats Monkey,vegetableEatsAnimal
722,,the Kangaroo eats Zucchini,animalEatsVegetable
723,,the Zucchini eats Kangaroo,vegetableEatsAnimal
724,,the Horse eats Wheatgrass,animalEatsVegetable
725,,the Wheatgrass eats Horse,vegetableEatsAnimal
726,,the Cow eats Daikon,animalEatsVegetable
727,,the Daikon eats Cow,vegetableEatsAnimal
728,,the Deer eats Celery,animalEatsVegetable
729,,the Celery eats Deer,vegetableEatsAnimal
730,,the Lion eats Cauliflower,animalEatsVegetable
731,,the Cauliflower eats Lion,vegetableEatsAnimal
732,,the Goat eats Eggplant,animalEatsVegetable
733,,the Eggplant eats Goat,vegetableEatsAnimal
734,,the Rabbit eats Radish,animalEatsVegetable
735,,the Radish eats Rabbit,vegetableEatsAnimal
736,,the Mule eats Kale,animalEatsVegetable
737,,the Kale eats Mule,vegetableEatsAnimal
738,,the Ape eats Radish,animalEatsVegetable
739,,the Radish eats Ape,vegetableEatsAnimal
740,,the Ferret eats Pea,animalEatsVegetable
741,,the Pea eats Ferret,vegetableEatsAnimal
742,,the Deer eats Eggplant,animalEatsVegetable
743,,the Eggplant eats Deer,vegetableEatsAnimal
744,,the Dog eats Daikon,animalEatsVegetable
745,,the Daikon eats Dog,vegetableEatsAnimal
746,,the Gazelle eats Basil,animalEatsVegetable
747,,the Basil eats Gazelle,vegetableEatsAnimal
748,,the Tiger eats Kale,animalEatsVegetable
749,,the Kale eats Tiger,vegetableEatsAnimal
750,,the Turkey eats Cucumber,animalEatsVegetable
751,,the Cucumber eats Turkey,vegetableEatsAnimal
752,,the Bison eats Cucumber,animalEatsVegetable
753,,the Cucumber eats Bison,vegetableEatsAnimal
754,,the Lion eats Cucumber,animalEatsVegetable
755,,the Cucumber eats Lion,vegetableEatsAnimal
756,,the Monkey eats Eggplant,animalEatsVegetable
757,,the Eggplant eats Monkey,vegetableEatsAnimal
758,,the Chicken eats Basil,animalEatsVegetable
759,,the Basil eats Chicken,vegetableEatsAnimal
760,,the Bison eats Potato,animalEatsVegetable
761,,the Potato eats Bison,vegetableEatsAnimal
762,,the Monkey eats Artichoke,animalEatsVegetable
763,,the Artichoke eats Monkey,vegetableEatsAnimal
764,,the Cow eats Carrot,animalEatsVegetable
765,,the Carrot eats Cow,vegetableEatsAnimal
766,,the Fox eats Pumpkin,animalEatsVegetable
767,,the Pumpkin eats Fox,vegetableEatsAnimal
768,,the Bison eats Pumpkin,animalEatsVegetable
769,,the Pumpkin eats Bison,vegetableEatsAnimal
770,,the Mule eats Carrot,animalEatsVegetable
771,,the Carrot eats Mule,vegetableEatsAnimal
772,,the Elk eats Pumpkin,animalEatsVegetable
773,,the Pumpkin eats Elk,vegetableEatsAnimal
774,,the Hare eats Daikon,animalEatsVegetable
775,,the Daikon eats Hare,vegetableEatsAnimal
776,,the Boar eats Cabbage,animalEatsVegetable
777,,the Cabbage eats Boar,vegetableEatsAnimal
778,,the Goat eats Asparagus,animalEatsVegetable
779,,the Asparagus eats Goat,vegetableEatsAnimal
780,,the Camel eats Asparagus,animalEatsVegetable
781,,the Asparagus eats Camel,vegetableEatsAnimal
782,,the Goat eats Pea,animalEatsVegetable
783,,the Pea eats Goat,vegetableEatsAnimal
784,,the Buffalo eats Pumpkin,animalEatsVegetable
785,,the Pumpkin eats Buffalo,vegetableEatsAnimal
786,,the Ferret eats Spinach,animalEatsVegetable
787,,the Spinach eats Ferret,vegetableEatsAnimal
788,,the Bison eats Spinach,animalEatsVegetable
789,,the Spinach eats Bison,vegetableEatsAnimal
790,,the Pig eats Lettuce,animalEatsVegetable
791,,the Lettuce eats Pig,vegetableEatsAnimal
792,,the Rabbit eats Onion,animalEatsVegetable
793,,the Onion eats Rabbit,vegetableEatsAnimal
794,,the Boar eats Pea,animalEatsVegetable
795,,the Pea eats Boar,vegetableEatsAnimal
796,,the Bear eats Carrot,animalEatsVegetable
797,,the Carrot eats Bear,vegetableEatsAnimal
798,,the Donkey eats Basil,animalEatsVegetable
799,,the Basil eats Donkey,vegetableEatsAnimal
800,,the Monkey eats Cabbage,animalEatsVegetable
801,,the Cabbage eats Monkey,vegetableEatsAnimal
802,,the Hamster eats Mushroom,animalEatsVegetable
803,,the Mushroom eats Hamster,vegetableEatsAnimal
804,,the Gazelle eats Zucchini,animalEatsVegetable
805,,the Zucchini eats Gazelle,vegetableEatsAnimal
806,,the Ape eats Lettuce,animalEatsVegetable
807,,the Lettuce eats Ape,vegetableEatsAnimal
808,,the Buffalo eats Artichoke,animalEatsVegetable
809,,the Artichoke eats Buffalo,vegetableEatsAnimal
810,,the Elephant eats Kale,animalEatsVegetable
811,,the Kale eats Elephant,vegetableEatsAnimal
812,,the Fox eats Spinach,animalEatsVegetable
813,,the Spinach eats Fox,vegetableEatsAnimal
814,,the Donkey eats Broccoli,animalEatsVegetable
815,,the Broccoli eats Donkey,vegetableEatsAnimal
816,,the Sheep eats Pepper,animalEatsVegetable
817,,the Pepper eats Sheep,vegetableEatsAnimal
818,,the Turkey eats Eggplant,animalEatsVegetable
819,,the Eggplant eats Turkey,vegetableEatsAnimal
820,,the Fox eats Radish,animalEatsVegetable
821,,the Radish eats Fox,vegetableEatsAnimal
822,,the Giraffe eats Pea,animalEatsVegetable
823,,the Pea eats Giraffe,vegetableEatsAnimal
824,,the Hare eats Radish,animalEatsVegetable
825,,the Radish eats Hare,vegetableEatsAnimal
826,,the Camel eats Daikon,animalEatsVegetable
827,,the Daikon eats Camel,vegetableEatsAnimal
828,,the Gazelle eats Radish,animalEatsVegetable
829,,the Radish eats Gazelle,vegetableEatsAnimal
830,,the Deer eats Turnip,animalEatsVegetable
831,,the Turnip eats Deer,vegetableEatsAnimal
832,,the Monkey eats Pea,animalEatsVegetable
833,,the Pea eats Monkey,vegetableEatsAnimal
834,,the Pig eats Kale,animalEatsVegetable
835,,the Kale eats Pig,vegetableEatsAnimal
836,,the Sheep eats Spinach,animalEatsVegetable
837,,the Spinach eats Sheep,vegetableEatsAnimal
838,,the Tiger eats Lettuce,animalEatsVegetable
839,,the Lettuce eats Tiger,vegetableEatsAnimal
840,,the Hamster eats Radish,animalEatsVegetable
841,,the Radish eats Hamster,vegetableEatsAnimal
842,,the Camel eats Artichoke,animalEatsVegetable
843,,the Artichoke eats Camel,vegetableEatsAnimal
844,,the Bison eats Beet,animalEatsVegetable
845,,the Beet eats Bison,vegetableEatsAnimal
846,,the Monkey eats Mushroom,animalEatsVegetable
847,,the Mushroom eats Monkey,vegetableEatsAnimal
848,,the Giraffe eats Carrot,animalEatsVegetable
849,,the Carrot eats Giraffe,vegetableEatsAnimal
850,,the Elephant eats Mushroom,animalEatsVegetable
851,,the Mushroom eats Elephant,vegetableEatsAnimal
852,,the Sheep eats Tomato,animalEatsVegetable
853,,the Tomato eats Sheep,vegetableEatsAnimal
854,,the Cat eats Cucumber,animalEatsVegetable
855,,the Cucumber eats Cat,vegetableEatsAnimal
856,,the Kangaroo eats Pea,animalEatsVegetable
857,,the Pea eats Kangaroo,vegetableEatsAnimal
858,,the Chicken eats Broccoli,animalEatsVegetable
859,,the Broccoli eats Chicken,vegetableEatsAnimal
860,,the Camel eats Pea,animalEatsVegetable
861,,the Pea eats Camel,vegetableEatsAnimal
862,,the Donkey eats Asparagus,animalEatsVegetable
863,,the Asparagus eats Donkey,vegetableEatsAnimal
864,,the Goose eats Lettuce,animalEatsVegetable
865,,the Lettuce eats Goose,vegetableEatsAnimal
866,,the Rabbit eats Pepper,animalEatsVegetable
867,,the Pepper eats Rabbit,vegetableEatsAnimal
868,,the Turkey eats Carrot,animalEatsVegetable
869,,the Carrot eats Turkey,vegetableEatsAnimal
870,,the Horse eats Pepper,animalEatsVegetable
871,,the Pepper eats Horse,vegetableEatsAnimal
872,,the Elephant eats Lettuce,animalEatsVegetable
873,,the Lettuce eats Elephant,vegetableEatsAnimal
874,,the Donkey eats Pepper,animalEatsVegetable
875,,the Pepper eats Donkey,vegetableEatsAnimal
876,,the Pig eats Spinach,animalEatsVegetable
877,,the Spinach eats Pig,vegetableEatsAnimal
878,,the Bear eats Mushroom,animalEatsVegetable
879,,the Mushroom eats Bear,vegetableEatsAnimal
880,,the Turkey eats Radish,animalEatsVegetable
881,,the Radish eats Turkey,vegetableEatsAnimal
882,,the Boar eats Artichoke,animalEatsVegetable
883,,the Artichoke eats Boar,vegetableEatsAnimal
884,,the Deer eats Onion,animalEatsVegetable
885,,the Onion eats Deer,vegetableEatsAnimal
886,,the Camel eats Spinach,animalEatsVegetable
887,,the Spinach eats Camel,vegetableEatsAnimal
888,,the Cat eats Turnip,animalEatsVegetable
889,,the Turnip eats Cat,vegetableEatsAnimal
890,,the Goat eats Tomato,animalEatsVegetable
891,,the Tomato eats Goat,vegetableEatsAnimal
892,,the Goose eats Turnip,animalEatsVegetable
893,,the Turnip eats Goose,vegetableEatsAnimal
894,,the Bison eats Basil,animalEatsVegetable
895,,the Basil eats Bison,vegetableEatsAnimal
896,,the Ferret eats Broccoli,animalEatsVegetable
897,,the Broccoli eats Ferret,vegetableEatsAnimal
898,,the Rabbit eats Broccoli,animalEatsVegetable
899,,the Broccoli eats Rabbit,vegetableEatsAnimal
